70,70,51,70,70,48,70,70,70,60,70,70,70,64,70,55,59
70,70,46,70,70,31,70,70,70,60,70,70,64,66,70,58,70
70,70,37,70,70,44,70,70,70,60,70,70,65,70,70,60,65
70,70,43,70,70,44,70,70,70,60,70,70,66,70,70,60,38
70,70,57,70,70,45,70,70,70,60,70,70,39,18,70,47,37
70,70,45,70,70,43,70,70,70,60,70,70,50,49,70,59,32
70,70,52,70,70,54,70,70,70,60,70,70,51,70,70,49,70
70,70,40,70,70,37,70,70,70,60,70,70,30,32,70,47,70
70,70,27,70,70,25,70,70,70,60,70,70,61,40,70,46,40
70,70,22,70,70,52,70,70,70,60,70,70,65,62,70,67,70
70,70,32,63,70,49,70,70,70,60,70,70,65,61,70,65,70
70,70,10,70,70,53,70,70,70,60,70,70,46,50,70,56,68
70,70,50,70,70,10,70,70,70,60,70,70,59,56,70,45,50
70,70,9,70,70,59,70,70,70,60,70,70,63,40,70,50,48
70,70,15,20,70,10,70,70,70,60,70,70,39,68,70,50,15
35,0,25,60,70,70,70,36,38,35,45,70,70,10,7,10,55
35,0,55,50,70,70,60,36,38,35,45,70,70,67,6,45,58
40,10,49,62,70,70,64,39,38,35,45,70,70,65,7,30,55
40,10,43,57,70,70,58,38,37,35,45,70,70,65,4,5,6
40,10,35,65,70,70,64,38,37,35,45,70,70,65,5,7,8
37,5,16,62,70,68,65,38,38,35,45,70,70,66,7,10,30
42,15,55,50,70,70,67,40,37,35,45,70,70,66,5,10,40
42,15,28,50,70,70,67,41,40,35,45,70,70,70,10,12,52
40,10,42,45,70,70,56,40,40,35,45,70,70,65,10,10,7
40,10,43,46,70,70,67,40,40,35,45,70,65,70,10,13,8
40,10,46,54,70,70,66,40,40,35,45,70,65,65,10,50,69
40,10,20,66,70,70,68,39,39,35,45,70,65,70,9,7,62
35,0,14,40,70,70,58,36,38,35,45,70,65,69,7,0,60
40,10,17,54,70,70,70,40,40,35,45,70,70,15,10,10,48
40,10,20,58,70,70,70,39,39,35,45,70,70,48,8,0,3
40,70,70,68,10,15,50,39,39,35,45,8,5,10,70,65,20
40,70,70,68,10,17,56,39,39,35,45,8,40,40,70,70,61
40,70,70,68,10,20,40,40,40,35,45,10,8,10,70,70,50
35,70,70,69,0,20,50,37,39,35,45,8,15,15,70,70,65
37,70,70,57,5,43,63,37,37,37,47,5,5,8,70,70,61
40,70,70,70,10,34,57,39,39,35,45,8,8,10,70,70,58
39,70,70,70,8,53,68,39,39,35,45,8,18,10,70,70,57
35,70,70,68,0,42,59,35,35,35,45,0,7,20,70,70,55
40,70,70,70,10,55,50,40,40,35,45,10,19,55,70,70,62
35,70,70,60,0,55,48,37,39,35,45,8,8,40,70,65,70
35,70,70,54,0,41,30,37,39,35,45,8,15,48,70,70,60
